Time,Ic,offset
0.000485,7.4e-06,
0.0004852,7.2e-06,
0.0004854,7.5e-06,
0.0004856,7.6e-06,
0.0004858,7.8e-06,
0.000486,7.9e-06,
0.0004862,8e-06,
0.0004864,7.8e-06,
0.0004866,7.9e-06,
0.0004868,7.9e-06,
0.000487,7.5e-06,
0.0004872,7.1e-06,
0.0004874,7.6e-06,
0.0004876,6.9e-06,
0.0004878,6.3e-06,
0.000488,6.3e-06,
0.0004882,5.4e-06,
0.0004884,5.2e-06,
0.0004886,4.5e-06,
0.0004888,4.2e-06,
0.000489,4.5e-06,
0.0004892,4e-06,
0.0004894,3.7e-06,
0.0004896,2.9e-06,
0.0004898,3e-06,
0.00049,2.9e-06,
0.0004902,3.4e-06,
0.0004904,3.7e-06,
0.0004906,3.6e-06,
0.0004908,4.2e-06,
0.000491,4.3e-06,
0.0004912,4.8e-06,
0.0004914,4.5e-06,
0.0004916,5.5e-06,
0.0004918,6.1e-06,
0.000492,6.1e-06,
0.0004922,6.1e-06,
0.0004924,6.4e-06,
0.0004926,7e-06,
0.0004928,7e-06,
0.000493,7.1e-06,
0.0004932,7.3e-06,
0.0004934,7.5e-06,
0.0004936,7.6e-06,
0.0004938,7.5e-06,
0.000494,7.7e-06,
0.0004942,7.7e-06,
0.0004944,7.6e-06,
0.0004946,7.2e-06,
0.0004948,7.3e-06,
0.000495,6.9e-06,
0.0004952,6.9e-06,
0.0004954,6.3e-06,
0.0004956,6e-06,
0.0004958,6e-06,
0.000496,4.6e-06,
0.0004962,4.9e-06,
0.0004964,4.8e-06,
0.0004966,3.7e-06,
0.0004968,3.8e-06,
0.000497,3.6e-06,
0.0004972,3.5e-06,
0.0004974,2.8e-06,
0.0004976,2.9e-06,
0.0004978,3.4e-06,
0.000498,3.2e-06,
0.0004982,3.7e-06,
0.0004984,4.3e-06,
0.0004986,4.2e-06,
0.0004988,4.6e-06,
0.000499,4.9e-06,
0.0004992,5.4e-06,
0.0004994,5.4e-06,
0.0004996,5.8e-06,
0.0004998,5.8e-06,
0.0005,6e-06,
0.0005002,6.6e-06,
0.0005004,6.4e-06,
0.0005006,6.6e-06,
0.0005008,7.1e-06,
0.000501,7.4e-06,
0.0005012,7.4e-06,
0.0005014,7.5e-06,
0.0005016,7.5e-06,
0.0005018,7.5e-06,
0.000502,7.3e-06,
0.0005022,7.4e-06,
0.0005024,7.4e-06,
0.0005026,7e-06,
0.0005028,6.9e-06,
0.000503,6.6e-06,
0.0005032,6e-06,
0.0005034,6.4e-06,
0.0005036,5.5e-06,
0.0005038,5e-06,
0.000504,4.8e-06,
0.0005042,4.6e-06,
0.0005044,3.6e-06,
0.0005046,4.6e-06,
0.0005048,3.7e-06,
0.000505,2.9e-06,
0.0005052,3.2e-06,
0.0005054,2.9e-06,
0.0005056,3.1e-06,
0.0005058,3.5e-06,
0.000506,4.1e-06,
0.0005062,3.9e-06,
0.0005064,4.4e-06,
0.0005066,4.4e-06,
0.0005068,4.5e-06,
0.000507,4.7e-06,
0.0005072,5e-06,
0.0005074,5.7e-06,
0.0005076,5.8e-06,
0.0005078,6e-06,
0.000508,6.4e-06,
0.0005082,6.7e-06,
0.0005084,6.8e-06,
0.0005086,6.9e-06,
0.0005088,7e-06,
0.000509,7.2e-06,
0.0005092,7.4e-06,
0.0005094,7.5e-06,
0.0005096,7.5e-06,
0.0005098,7.5e-06,
0.00051,7.4e-06,
0.0005102,6.9e-06,
0.0005104,7.1e-06,
0.0005106,6.7e-06,
0.0005108,6.8e-06,
0.000511,6.2e-06,
0.0005112,6e-06,
0.0005114,5.1e-06,
0.0005116,4.9e-06,
0.0005118,4.5e-06,
0.000512,4.3e-06,
0.0005122,3.5e-06,
0.0005124,4.2e-06,
0.0005126,3.4e-06,
0.0005128,3.1e-06,
0.000513,3.4e-06,
0.0005132,2.8e-06,
0.0005134,3e-06,
0.0005136,3.8e-06,
0.0005138,3.7e-06,
0.000514,3.7e-06,
0.0005142,3.7e-06,
0.0005144,4.4e-06,
0.0005146,4.6e-06,
0.0005148,4.6e-06,
0.000515,5.3e-06,
