Time,Ic,offset
0.000885,1.52e-05,
0.0008852,1.43e-05,
0.0008854,1.33e-05,
0.0008856,1.29e-05,
0.0008858,1.37e-05,
0.000886,1.31e-05,
0.0008862,1.33e-05,
0.0008864,1.34e-05,
0.0008866,1.34e-05,
0.0008868,1.38e-05,
0.000887,1.42e-05,
0.0008872,1.42e-05,
0.0008874,1.47e-05,
0.0008876,1.42e-05,
0.0008878,1.45e-05,
0.000888,1.44e-05,
0.0008882,1.51e-05,
0.0008884,1.5e-05,
0.0008886,1.53e-05,
0.0008888,1.57e-05,
0.000889,1.59e-05,
0.0008892,1.59e-05,
0.0008894,1.6e-05,
0.0008896,1.61e-05,
0.0008898,1.6e-05,
0.00089,1.57e-05,
0.0008902,1.54e-05,
0.0008904,1.59e-05,
0.0008906,1.55e-05,
0.0008908,1.54e-05,
0.000891,1.43e-05,
0.0008912,1.49e-05,
0.0008914,1.42e-05,
0.0008916,1.44e-05,
0.0008918,1.37e-05,
0.000892,1.43e-05,
0.0008922,1.33e-05,
0.0008924,1.16e-05,
0.0008926,1.12e-05,
0.0008928,1.04e-05,
0.000893,1.03e-05,
0.0008932,1.09e-05,
0.0008934,1.03e-05,
0.0008936,1.03e-05,
0.0008938,1.04e-05,
0.000894,1.03e-05,
0.0008942,1.09e-05,
0.0008944,1.09e-05,
0.0008946,1.09e-05,
0.0008948,1.18e-05,
0.000895,1.19e-05,
0.0008952,1.22e-05,
0.0008954,1.23e-05,
0.0008956,1.23e-05,
0.0008958,1.38e-05,
0.000896,1.34e-05,
0.0008962,1.28e-05,
0.0008964,1.3e-05,
0.0008966,1.38e-05,
0.0008968,1.45e-05,
0.000897,1.44e-05,
0.0008972,1.4e-05,
0.0008974,1.49e-05,
0.0008976,1.52e-05,
0.0008978,1.51e-05,
0.000898,1.55e-05,
0.0008982,1.54e-05,
0.0008984,1.61e-05,
0.0008986,1.6e-05,
0.0008988,1.62e-05,
0.000899,1.62e-05,
0.0008992,1.61e-05,
0.0008994,1.57e-05,
0.0008996,1.57e-05,
0.0008998,1.44e-05,
0.0009,1.56e-05,
0.0009002,1.51e-05,
0.0009004,1.5e-05,
0.0009006,1.38e-05,
0.0009008,1.34e-05,
0.000901,1.23e-05,
0.0009012,1.19e-05,
0.0009014,1.19e-05,
0.0009016,1.04e-05,
0.0009018,1.12e-05,
0.000902,1.03e-05,
0.0009022,1.03e-05,
0.0009024,1.03e-05,
0.0009026,1.05e-05,
0.0009028,1.09e-05,
0.000903,1.04e-05,
0.0009032,1.07e-05,
0.0009034,1.1e-05,
0.0009036,1.1e-05,
0.0009038,1.25e-05,
0.000904,1.18e-05,
0.0009042,1.3e-05,
0.0009044,1.27e-05,
0.0009046,1.35e-05,
0.0009048,1.45e-05,
0.000905,1.39e-05,
0.0009052,1.42e-05,
0.0009054,1.41e-05,
0.0009056,1.44e-05,
0.0009058,1.46e-05,
0.000906,1.45e-05,
0.0009062,1.52e-05,
0.0009064,1.57e-05,
0.0009066,1.56e-05,
0.0009068,1.61e-05,
0.000907,1.57e-05,
0.0009072,1.61e-05,
0.0009074,1.62e-05,
0.0009076,1.62e-05,
0.0009078,1.61e-05,
0.000908,1.6e-05,
0.0009082,1.51e-05,
0.0009084,1.4e-05,
0.0009086,1.41e-05,
0.0009088,1.4e-05,
0.000909,1.31e-05,
0.0009092,1.26e-05,
0.0009094,1.14e-05,
0.0009096,1.14e-05,
0.0009098,1.08e-05,
0.00091,1.11e-05,
0.0009102,1.03e-05,
0.0009104,1.04e-05,
0.0009106,1.07e-05,
0.0009108,1.07e-05,
0.000911,1.05e-05,
0.0009112,1.11e-05,
0.0009114,1.13e-05,
0.0009116,1.16e-05,
0.0009118,1.15e-05,
0.000912,1.22e-05,
0.0009122,1.25e-05,
0.0009124,1.24e-05,
0.0009126,1.31e-05,
0.0009128,1.35e-05,
0.000913,1.36e-05,
0.0009132,1.39e-05,
0.0009134,1.46e-05,
0.0009136,1.39e-05,
0.0009138,1.44e-05,
0.000914,1.47e-05,
0.0009142,1.53e-05,
0.0009144,1.55e-05,
0.0009146,1.55e-05,
0.0009148,1.6e-05,
0.000915,1.6e-05,
