Time,Ic
-0.00010325,4e-07
-0.0001038,4.8e-07
-0.00010435,5.4e-07
-0.0001049,5.6e-07
-0.00010545,6e-07
-0.000106,6.6e-07
-0.00010655,7e-07
-0.0001071,7.4e-07
-0.00010765,7.8e-07
-0.0001082,8.4e-07
-0.00010875,8.8e-07
-0.0001093,9.20000000000001e-07
-0.00010985,9.4e-07
-0.0001104,9.4e-07
-0.00011095,9.4e-07
-0.0001115,9.6e-07
-0.00011205,9.20000000000001e-07
-0.0001126,9.20000000000001e-07
-0.00011315,9e-07
-0.0001137,8.6e-07
-0.00011425,8e-07
-0.0001148,7.4e-07
-0.00011535,7e-07
-0.0001159,5.6e-07
-0.00011645,5.4e-07
-0.000117,4.8e-07
-0.00011755,4e-07
-0.0001181,3.4e-07
-0.00011865,3.4e-07
-0.0001192,3.4e-07
-0.00011975,3.4e-07
-0.0001203,3.8e-07
-0.00012085,4.6e-07
-0.0001214,4.8e-07
-0.00012195,5.6e-07
-0.0001225,6e-07
-0.00012305,6e-07
-0.0001236,6.6e-07
-0.00012415,7.4e-07
-0.0001247,7.8e-07
-0.00012525,8e-07
-0.0001258,8.4e-07
-0.00012635,8.6e-07
-0.0001269,8.6e-07
-0.00012745,9.20000000000001e-07
-0.000128,9.20000000000001e-07
-0.00012855,9.4e-07
-0.0001291,9.4e-07
-0.00012965,9.20000000000001e-07
-0.0001302,8.8e-07
-0.00013075,8.2e-07
-0.0001313,7.8e-07
-0.00013185,7.6e-07
-0.0001324,6.8e-07
-0.00013295,6.6e-07
-0.0001335,6e-07
-0.00013405,4.6e-07
-0.0001346,4.2e-07
-0.00013515,3.4e-07
-0.0001357,3.2e-07
-0.00013625,3.4e-07
-0.0001368,3.4e-07
-0.00013735,3.8e-07
-0.0001379,3.8e-07
-0.00013845,4.6e-07
-0.000139,4.8e-07
-0.00013955,5.2e-07
-0.0001401,5.6e-07
-0.00014065,6.2e-07
-0.0001412,6.6e-07
-0.00014175,7e-07
-0.0001423,7.6e-07
-0.00014285,8e-07
-0.0001434,8.2e-07
-0.00014395,8.2e-07
-0.0001445,8.8e-07
-0.00014505,9.20000000000001e-07
-0.0001456,9.20000000000001e-07
-0.00014615,9.4e-07
-0.0001467,9.4e-07
-0.00014725,9e-07
-0.0001478,8.6e-07
-0.00014835,8.4e-07
-0.0001489,8e-07
-0.00014945,7.4e-07
-0.00015,7e-07
