Time,Ic,offset
-0.000515,2.7e-06,
-0.0005148,2.7e-06,
-0.0005146,2.8e-06,
-0.0005144,2.9e-06,
-0.0005142,3.1e-06,
-0.000514,3.2e-06,
-0.0005138,3.6e-06,
-0.0005136,3.4e-06,
-0.0005134,3.7e-06,
-0.0005132,3.7e-06,
-0.000513,4.1e-06,
-0.0005128,4e-06,
-0.0005126,4.5e-06,
-0.0005124,4.8e-06,
-0.0005122,4.7e-06,
-0.000512,5.2e-06,
-0.0005118,5.3e-06,
-0.0005116,5.4e-06,
-0.0005114,5.7e-06,
-0.0005112,5.7e-06,
-0.000511,5.8e-06,
-0.0005108,5.6e-06,
-0.0005106,6e-06,
-0.0005104,6.1e-06,
-0.0005102,6e-06,
-0.00051,5.7e-06,
-0.0005098,5.9e-06,
-0.0005096,5.7e-06,
-0.0005094,5.6e-06,
-0.0005092,4.8e-06,
-0.000509,5.2e-06,
-0.0005088,5e-06,
-0.0005086,4.7e-06,
-0.0005084,4.2e-06,
-0.0005082,4.3e-06,
-0.000508,3.5e-06,
-0.0005078,3.2e-06,
-0.0005076,3.1e-06,
-0.0005074,3e-06,
-0.0005072,2.7e-06,
-0.000507,2.7e-06,
-0.0005068,2.7e-06,
-0.0005066,2.7e-06,
-0.0005064,2.7e-06,
-0.0005062,2.9e-06,
-0.000506,3e-06,
-0.0005058,2.9e-06,
-0.0005056,3.5e-06,
-0.0005054,3.5e-06,
-0.0005052,3.8e-06,
-0.000505,3.9e-06,
-0.0005048,3.7e-06,
-0.0005046,4.3e-06,
-0.0005044,4.6e-06,
-0.0005042,5e-06,
-0.000504,4.8e-06,
-0.0005038,5.1e-06,
-0.0005036,5.3e-06,
-0.0005034,5.2e-06,
-0.0005032,5.8e-06,
-0.000503,5.8e-06,
-0.0005028,5.9e-06,
-0.0005026,5.9e-06,
-0.0005024,6e-06,
-0.0005022,6e-06,
-0.000502,5.9e-06,
-0.0005018,5.8e-06,
-0.0005016,5.5e-06,
-0.0005014,5.4e-06,
-0.0005012,5e-06,
-0.000501,4.9e-06,
-0.0005008,4.7e-06,
-0.0005006,4.6e-06,
-0.0005004,4.1e-06,
-0.0005002,4.2e-06,
-0.0005,3.6e-06,
-0.0004998,3.5e-06,
-0.0004996,3.1e-06,
-0.0004994,2.7e-06,
-0.0004992,2.7e-06,
-0.000499,2.7e-06,
-0.0004988,2.8e-06,
-0.0004986,2.7e-06,
-0.0004984,3e-06,
-0.0004982,2.9e-06,
-0.000498,2.9e-06,
-0.0004978,3.3e-06,
-0.0004976,3.3e-06,
-0.0004974,3.8e-06,
-0.0004972,3.6e-06,
-0.000497,3.9e-06,
-0.0004968,4.1e-06,
-0.0004966,4.5e-06,
-0.0004964,4.5e-06,
-0.0004962,4.6e-06,
-0.000496,5.1e-06,
-0.0004958,5.3e-06,
-0.0004956,5.4e-06,
-0.0004954,5.2e-06,
-0.0004952,5.6e-06,
-0.000495,5.8e-06,
-0.0004948,5.8e-06,
-0.0004946,5.9e-06,
-0.0004944,5.8e-06,
-0.0004942,5.7e-06,
-0.000494,5.6e-06,
-0.0004938,5e-06,
-0.0004936,5.1e-06,
-0.0004934,4.8e-06,
-0.0004932,4.5e-06,
-0.000493,4.3e-06,
-0.0004928,4.4e-06,
-0.0004926,3.9e-06,
-0.0004924,3.3e-06,
-0.0004922,3.1e-06,
-0.000492,2.8e-06,
-0.0004918,2.7e-06,
-0.0004916,2.8e-06,
-0.0004914,2.9e-06,
-0.0004912,2.7e-06,
-0.000491,2.8e-06,
-0.0004908,2.7e-06,
-0.0004906,2.7e-06,
-0.0004904,2.9e-06,
-0.0004902,3e-06,
-0.00049,3.1e-06,
-0.0004898,3.5e-06,
-0.0004896,3.7e-06,
-0.0004894,3.3e-06,
-0.0004892,3.9e-06,
-0.000489,4.3e-06,
-0.0004888,4.4e-06,
-0.0004886,5e-06,
-0.0004884,4.6e-06,
-0.0004882,5.1e-06,
-0.000488,5.1e-06,
-0.0004878,5e-06,
-0.0004876,5.4e-06,
-0.0004874,5.4e-06,
-0.0004872,5.7e-06,
-0.000487,5.8e-06,
-0.0004868,5.8e-06,
-0.0004866,5.7e-06,
-0.0004864,5.7e-06,
-0.0004862,5.6e-06,
-0.000486,5.7e-06,
-0.0004858,5.6e-06,
-0.0004856,5.7e-06,
-0.0004854,4.5e-06,
-0.0004852,4.4e-06,
-0.000485,4.3e-06,
