file,best_frequency_ls,best_period_ls,r_squared_ls,ls_amplitude_fit,ls_phase_fit_rad,ls_offset_fit,r_squared_custom,custom_A,custom_B,custom_f,custom_d,custom_p,custom_T,custom_r,custom_r2,custom_C,fit_status,error_msg
164_ic.csv,1000.0010000000016,0.0009999990000009984,0.05048657266977563,1.6012986882794435e-06,0.5386263018534702,3.323463105918445e-21,-3.12778262526063,4.134150128293558e-05,3.384764858906998e-05,2223.40042910707,0.0028768037724424007,-0.5766721794833032,0.5,-0.23200225326147428,5135.762376557097,-4.9873841478719876e-05,success,
317_ic.csv,0.001,1000.0,0.00171223248266128,1611.8964623171632,9.572381266929158e-06,1.1779928405523383e-20,-0.22563273858365207,2.871922066715732e-06,1.435961033316501e-06,0.000999999972517346,-0.0015149999999999999,0.0,0.5,-0.009647960962009705,-3551.7115746996133,1.3376507493900367e-05,success,
335_ic.csv,0.001,1000.0,0.0621397734713115,1.8626451495118854e-08,-3.2292903613515668e-06,-2.9421773565223875e-21,-0.49433678983479323,2.1857377573495325e-06,1.0928688786334012e-06,0.000999999972517346,0.0004850000000000002,0.0,0.5,-0.04563436737539206,315.5569670748664,6.237495643081239e-06,success,
336_ic.csv,0.001,1000.0,0.0136063626602696,9.089708333304187e-07,-5.759896084848544e-06,-3.7583581103336505e-21,-2.206928813170571,2.665110942935953e-06,1.3325554714266114e-06,0.000999999972517346,0.0008849999999999999,0.0,0.5,-0.025388637155803195,4260.044856483815,1.3911293133496015e-05,success,
337_ic.csv,0.001,1000.0,0.0016065594196196242,8.037313819149448e-07,3.141591313347336,-1.138726412533927e-21,-0.20729816468161943,1.248550135406742e-06,6.242750704375633e-07,0.000999999972517346,0.00018499999999999983,0.0,0.5,-0.004062391077029659,-1333.363927514758,3.954975601254808e-06,success,
338_ic.csv,0.001,1000.0,0.04118868622197347,1.5273690226783996e-07,-3.1415890002577807,1.0217685519362305e-20,-0.35484623343267496,2.225721901122841e-06,1.112860953295613e-06,0.000999999972517346,-0.0005149999999999998,0.0,0.5,0.03741721854304103,-349.65434308105614,4.720860927152264e-06,success,
341_ic.csv,0.001,1000.0,0.0056972202486735846,4.917383194911234e-07,3.4647615799240917e-06,2.4709802203014524e-21,-1.0361058718779912,1.5881413849685204e-06,7.940706924428949e-07,0.000999999972517346,-0.0005149999999999998,0.0,0.5,0.009750784245380117,1073.1528441780247,4.206056117113974e-06,success,
346_ic.csv,0.001,1000.0,0.05504351309345279,1611.8964624511057,-3.141583081208527,4.5975377719842685e-20,-2.078966484009559,4.667594860489555e-06,2.333797427427855e-06,0.000999999972517346,-0.0015149999999999999,0.0,0.5,-0.09137330080167771,7481.90000972175,2.51007319623563e-05,success,
352_ic.csv,0.001,1000.0,0.06269158285056597,6790.4552594609795,3.141586192232438,1.0658030462140202e-20,-1.9861857975717512,4.695873745278674e-06,2.3479368725979717e-06,0.000999999972517346,0.0009849999999999998,0.0,0.5,-0.09850557685604855,7311.7428083384875,2.571433861972821e-05,success,
380_ic.csv,0.001,1000.0,0.008851095699679234,4.55230474484448e-06,-1.3305821815895126e-06,6.305066441813467e-21,-4.577842995393461,3.941904819104699e-06,1.9709524122865424e-06,0.000999999972517346,0.00018499999999999983,0.0,0.5,-0.03021436040432235,11073.413835018873,1.8969109445799836e-05,success,
381_ic.csv,0.001,1000.0,0.014550492589713637,1.966953278326334e-06,-3.1415878665496413,1.070290637987553e-20,-0.24585450022708488,4.982528084430231e-06,2.491264039398193e-06,0.000999999972517346,-0.0007650000000000001,0.0,0.5,0.04910770303241918,-7010.872309867991,2.8499146043917817e-05,success,
