Time,Ic,offset
0.000185,4.6e-06,
0.0001852,4.6e-06,
0.0001854,4.6e-06,
0.0001856,4.7e-06,
0.0001858,4.6e-06,
0.000186,4.6e-06,
0.0001862,4.4e-06,
0.0001864,4.2e-06,
0.0001866,4e-06,
0.0001868,4.4e-06,
0.000187,4e-06,
0.0001872,4.1e-06,
0.0001874,3.7e-06,
0.0001876,3.2e-06,
0.0001878,3.8e-06,
0.000188,3.2e-06,
0.0001882,3e-06,
0.0001884,3e-06,
0.0001886,2.9e-06,
0.0001888,2.8e-06,
0.000189,2.7e-06,
0.0001892,2.7e-06,
0.0001894,2.9e-06,
0.0001896,2.7e-06,
0.0001898,2.7e-06,
0.00019,3e-06,
0.0001902,3.3e-06,
0.0001904,3.3e-06,
0.0001906,3.3e-06,
0.0001908,3.7e-06,
0.000191,4.1e-06,
0.0001912,3.8e-06,
0.0001914,4.1e-06,
0.0001916,4.3e-06,
0.0001918,4.4e-06,
0.000192,4.8e-06,
0.0001922,4.7e-06,
0.0001924,5e-06,
0.0001926,5.1e-06,
0.0001928,5e-06,
0.000193,5.1e-06,
0.0001932,5.1e-06,
0.0001934,5.2e-06,
0.0001936,5.1e-06,
0.0001938,4.9e-06,
0.000194,4.7e-06,
0.0001942,4.8e-06,
0.0001944,4.4e-06,
0.0001946,4.3e-06,
0.0001948,4.2e-06,
0.000195,3.9e-06,
0.0001952,3.2e-06,
0.0001954,2.9e-06,
0.0001956,2.9e-06,
0.0001958,2.8e-06,
0.000196,2.8e-06,
0.0001962,2.7e-06,
0.0001964,2.8e-06,
0.0001966,2.8e-06,
0.0001968,2.8e-06,
0.000197,2.7e-06,
0.0001972,2.7e-06,
0.0001974,3.3e-06,
0.0001976,3e-06,
0.0001978,3.3e-06,
0.000198,3.1e-06,
0.0001982,3.1e-06,
0.0001984,3.5e-06,
0.0001986,3.7e-06,
0.0001988,4e-06,
0.000199,4e-06,
0.0001992,4.7e-06,
0.0001994,4.4e-06,
0.0001996,4.9e-06,
0.0001998,5e-06,
0.0002,4.9e-06,
0.0002002,5e-06,
0.0002004,5.2e-06,
0.0002006,5.3e-06,
0.0002008,5.4e-06,
0.000201,5.4e-06,
0.0002012,5.2e-06,
0.0002014,5.3e-06,
0.0002016,5.1e-06,
0.0002018,4.8e-06,
0.000202,5e-06,
0.0002022,4.7e-06,
0.0002024,4.5e-06,
0.0002026,3.8e-06,
0.0002028,3.6e-06,
0.000203,3.8e-06,
0.0002032,3.3e-06,
0.0002034,3.2e-06,
0.0002036,3.1e-06,
0.0002038,3.2e-06,
0.000204,2.8e-06,
0.0002042,2.8e-06,
0.0002044,2.8e-06,
0.0002046,2.7e-06,
0.0002048,2.7e-06,
0.000205,2.8e-06,
0.0002052,2.9e-06,
0.0002054,3e-06,
0.0002056,3e-06,
0.0002058,2.9e-06,
0.000206,3.6e-06,
0.0002062,3.6e-06,
0.0002064,3.3e-06,
0.0002066,4.2e-06,
0.0002068,4.2e-06,
0.000207,4e-06,
0.0002072,4.3e-06,
0.0002074,4.6e-06,
0.0002076,4.6e-06,
0.0002078,4.7e-06,
0.000208,5e-06,
0.0002082,5.1e-06,
0.0002084,5.2e-06,
0.0002086,5.2e-06,
0.0002088,5.3e-06,
0.000209,5.4e-06,
0.0002092,5.4e-06,
0.0002094,5.1e-06,
0.0002096,5.1e-06,
0.0002098,5.1e-06,
0.00021,4.8e-06,
0.0002102,4.8e-06,
0.0002104,4.4e-06,
0.0002106,4e-06,
0.0002108,3.8e-06,
0.000211,4.1e-06,
0.0002112,3.4e-06,
0.0002114,3.2e-06,
0.0002116,3.1e-06,
0.0002118,2.9e-06,
0.000212,2.9e-06,
0.0002122,2.7e-06,
0.0002124,2.8e-06,
0.0002126,2.7e-06,
0.0002128,2.7e-06,
0.000213,2.8e-06,
0.0002132,2.9e-06,
0.0002134,2.9e-06,
0.0002136,3.1e-06,
0.0002138,3.2e-06,
0.000214,3.4e-06,
0.0002142,3.6e-06,
0.0002144,3.8e-06,
0.0002146,3.9e-06,
0.0002148,3.9e-06,
0.000215,4.2e-06,
