Time,Ic,offset
0.000985,2.925e-05,
0.0009852,2.675e-05,
0.0009854,2.725e-05,
0.0009856,2.7e-05,
0.0009858,2.8e-05,
0.000986,2.925e-05,
0.0009862,3.025e-05,
0.0009864,3.075e-05,
0.0009866,3.2e-05,
0.0009868,3.175e-05,
0.000987,3.1e-05,
0.0009872,2.825e-05,
0.0009874,2.6e-05,
0.0009876,2.7e-05,
0.0009878,2.475e-05,
0.000988,2.3e-05,
0.0009882,2.175e-05,
0.0009884,1.925e-05,
0.0009886,1.975e-05,
0.0009888,1.95e-05,
0.000989,2.025e-05,
0.0009892,2.1e-05,
0.0009894,2.175e-05,
0.0009896,2.275e-05,
0.0009898,2.225e-05,
0.00099,2.4e-05,
0.0009902,2.4e-05,
0.0009904,2.525e-05,
0.0009906,2.5e-05,
0.0009908,2.55e-05,
0.000991,2.6e-05,
0.0009912,2.625e-05,
0.0009914,2.725e-05,
0.0009916,2.75e-05,
0.0009918,2.75e-05,
0.000992,2.875e-05,
0.0009922,2.825e-05,
0.0009924,2.9e-05,
0.0009926,2.875e-05,
0.0009928,2.875e-05,
0.000993,2.725e-05,
0.0009932,2.675e-05,
0.0009934,2.65e-05,
0.0009936,2.5e-05,
0.0009938,2.6e-05,
0.000994,2.375e-05,
0.0009942,2.175e-05,
0.0009944,2.175e-05,
0.0009946,2.075e-05,
0.0009948,2.025e-05,
0.000995,1.95e-05,
0.0009952,1.875e-05,
0.0009954,1.85e-05,
0.0009956,1.9e-05,
0.0009958,1.925e-05,
0.000996,1.95e-05,
0.0009962,1.975e-05,
0.0009964,2e-05,
0.0009966,2.1e-05,
0.0009968,2.125e-05,
0.000997,2.15e-05,
0.0009972,2.225e-05,
0.0009974,2.35e-05,
0.0009976,2.375e-05,
0.0009978,2.4e-05,
0.000998,2.425e-05,
0.0009982,2.55e-05,
0.0009984,2.625e-05,
0.0009986,2.575e-05,
0.0009988,2.6e-05,
0.000999,2.675e-05,
0.0009992,2.725e-05,
0.0009994,2.75e-05,
0.0009996,2.8e-05,
0.0009998,2.825e-05,
0.001,2.85e-05,
0.0010002,2.825e-05,
0.0010004,2.8e-05,
0.0010006,2.85e-05,
0.0010008,2.825e-05,
0.001001,2.725e-05,
0.0010012,2.65e-05,
0.0010014,2.475e-05,
0.0010016,2.375e-05,
0.0010018,2.5e-05,
0.001002,2.425e-05,
0.0010022,2.25e-05,
0.0010024,2.225e-05,
0.0010026,2.175e-05,
0.0010028,2e-05,
0.001003,1.975e-05,
0.0010032,1.85e-05,
0.0010034,1.925e-05,
0.0010036,1.825e-05,
0.0010038,1.9e-05,
0.001004,1.95e-05,
0.0010042,2.1e-05,
0.0010044,2.125e-05,
0.0010046,2.125e-05,
0.0010048,2.15e-05,
0.001005,2.175e-05,
0.0010052,2.25e-05,
0.0010054,2.375e-05,
0.0010056,2.425e-05,
0.0010058,2.45e-05,
0.001006,2.5e-05,
0.0010062,2.55e-05,
0.0010064,2.55e-05,
0.0010066,2.575e-05,
0.0010068,2.675e-05,
0.001007,2.675e-05,
0.0010072,2.775e-05,
0.0010074,2.775e-05,
0.0010076,2.775e-05,
0.0010078,2.8e-05,
0.001008,2.8e-05,
0.0010082,2.825e-05,
0.0010084,2.825e-05,
0.0010086,2.8e-05,
0.0010088,2.775e-05,
0.001009,2.65e-05,
0.0010092,2.525e-05,
0.0010094,2.475e-05,
0.0010096,2.575e-05,
0.0010098,2.425e-05,
0.00101,2.35e-05,
0.0010102,2.3e-05,
0.0010104,2.1e-05,
0.0010106,2e-05,
0.0010108,1.925e-05,
0.001011,1.9e-05,
0.0010112,1.975e-05,
0.0010114,1.85e-05,
0.0010116,1.875e-05,
0.0010118,1.925e-05,
0.001012,1.875e-05,
0.0010122,1.975e-05,
0.0010124,2.025e-05,
0.0010126,2.1e-05,
0.0010128,2.15e-05,
0.001013,2.15e-05,
0.0010132,2.225e-05,
0.0010134,2.2e-05,
0.0010136,2.325e-05,
0.0010138,2.475e-05,
0.001014,2.45e-05,
0.0010142,2.475e-05,
0.0010144,2.525e-05,
0.0010146,2.65e-05,
0.0010148,2.7e-05,
0.001015,2.7e-05,
