Time,Ic,offset
0.000185,2.44e-05,
0.0001852,2.39e-05,
0.0001854,2.42e-05,
0.0001856,2.49e-05,
0.0001858,2.43e-05,
0.000186,2.14e-05,
0.0001862,1.71e-05,
0.0001864,1.62e-05,
0.0001866,1.46e-05,
0.0001868,1.56e-05,
0.000187,1.62e-05,
0.0001872,1.71e-05,
0.0001874,1.87e-05,
0.0001876,1.8e-05,
0.0001878,1.87e-05,
0.000188,1.97e-05,
0.0001882,1.95e-05,
0.0001884,2e-05,
0.0001886,2e-05,
0.0001888,2.07e-05,
0.000189,2.1e-05,
0.0001892,2.19e-05,
0.0001894,2.18e-05,
0.0001896,2.22e-05,
0.0001898,2.21e-05,
0.00019,2.22e-05,
0.0001902,2.18e-05,
0.0001904,2.11e-05,
0.0001906,2.09e-05,
0.0001908,2.02e-05,
0.000191,1.92e-05,
0.0001912,1.86e-05,
0.0001914,1.75e-05,
0.0001916,1.66e-05,
0.0001918,1.5e-05,
0.000192,1.38e-05,
0.0001922,1.4e-05,
0.0001924,1.41e-05,
0.0001926,1.39e-05,
0.0001928,1.43e-05,
0.000193,1.51e-05,
0.0001932,1.49e-05,
0.0001934,1.49e-05,
0.0001936,1.55e-05,
0.0001938,1.54e-05,
0.000194,1.69e-05,
0.0001942,1.71e-05,
0.0001944,1.74e-05,
0.0001946,1.74e-05,
0.0001948,1.89e-05,
0.000195,1.81e-05,
0.0001952,1.81e-05,
0.0001954,1.95e-05,
0.0001956,2.01e-05,
0.0001958,2.09e-05,
0.000196,2.08e-05,
0.0001962,2.11e-05,
0.0001964,2.13e-05,
0.0001966,2.16e-05,
0.0001968,2.19e-05,
0.000197,2.18e-05,
0.0001972,2.17e-05,
0.0001974,2.18e-05,
0.0001976,2.14e-05,
0.0001978,2.11e-05,
0.000198,2.1e-05,
0.0001982,1.97e-05,
0.0001984,1.96e-05,
0.0001986,1.9e-05,
0.0001988,1.71e-05,
0.000199,1.68e-05,
0.0001992,1.45e-05,
0.0001994,1.64e-05,
0.0001996,1.46e-05,
0.0001998,1.38e-05,
0.0002,1.37e-05,
0.0002002,1.37e-05,
0.0002004,1.44e-05,
0.0002006,1.46e-05,
0.0002008,1.48e-05,
0.000201,1.47e-05,
0.0002012,1.51e-05,
0.0002014,1.63e-05,
0.0002016,1.56e-05,
0.0002018,1.65e-05,
0.000202,1.67e-05,
0.0002022,1.76e-05,
0.0002024,1.79e-05,
0.0002026,1.83e-05,
0.0002028,1.86e-05,
0.000203,1.91e-05,
0.0002032,1.91e-05,
0.0002034,2.01e-05,
0.0002036,2.01e-05,
0.0002038,2.04e-05,
0.000204,2.06e-05,
0.0002042,2.12e-05,
0.0002044,2.11e-05,
0.0002046,2.16e-05,
0.0002048,2.16e-05,
0.000205,2.17e-05,
0.0002052,2.14e-05,
0.0002054,2.09e-05,
0.0002056,2.08e-05,
0.0002058,1.96e-05,
0.000206,2.07e-05,
0.0002062,2.1e-05,
0.0002064,1.93e-05,
0.0002066,1.83e-05,
0.0002068,1.76e-05,
0.000207,1.66e-05,
0.0002072,1.57e-05,
0.0002074,1.58e-05,
0.0002076,1.39e-05,
0.0002078,1.35e-05,
0.000208,1.38e-05,
0.0002082,1.37e-05,
0.0002084,1.44e-05,
0.0002086,1.46e-05,
0.0002088,1.44e-05,
0.000209,1.56e-05,
0.0002092,1.63e-05,
0.0002094,1.68e-05,
0.0002096,1.63e-05,
0.0002098,1.66e-05,
0.00021,1.75e-05,
0.0002102,1.77e-05,
0.0002104,1.76e-05,
0.0002106,1.88e-05,
0.0002108,1.86e-05,
0.000211,1.91e-05,
0.0002112,1.94e-05,
0.0002114,1.9e-05,
0.0002116,2.03e-05,
0.0002118,2.09e-05,
0.000212,2.03e-05,
0.0002122,2.06e-05,
0.0002124,2.16e-05,
0.0002126,2.17e-05,
0.0002128,2.17e-05,
0.000213,2.15e-05,
0.0002132,2.17e-05,
0.0002134,2.11e-05,
0.0002136,2.13e-05,
0.0002138,2.04e-05,
0.000214,1.95e-05,
0.0002142,1.76e-05,
0.0002144,1.87e-05,
0.0002146,1.74e-05,
0.0002148,1.77e-05,
0.000215,1.69e-05,
