Time,Ic,offset
-0.001515,3.275e-05,
-0.0015148,3e-05,
-0.0015146,2.9e-05,
-0.0015144,2.95e-05,
-0.0015142,2.775e-05,
-0.001514,2.775e-05,
-0.0015138,2.85e-05,
-0.0015136,2.8e-05,
-0.0015134,2.675e-05,
-0.0015132,2.75e-05,
-0.001513,2.825e-05,
-0.0015128,2.7e-05,
-0.0015126,2.625e-05,
-0.0015124,2.775e-05,
-0.0015122,2.625e-05,
-0.001512,2.65e-05,
-0.0015118,2.625e-05,
-0.0015116,2.45e-05,
-0.0015114,2.5e-05,
-0.0015112,2.525e-05,
-0.001511,2.35e-05,
-0.0015108,2.25e-05,
-0.0015106,2.35e-05,
-0.0015104,2.125e-05,
-0.0015102,1.975e-05,
-0.00151,1.975e-05,
-0.0015098,1.95e-05,
-0.0015096,1.925e-05,
-0.0015094,1.925e-05,
-0.0015092,1.8e-05,
-0.001509,2e-05,
-0.0015088,1.95e-05,
-0.0015086,2.025e-05,
-0.0015084,1.975e-05,
-0.0015082,2.075e-05,
-0.001508,2.175e-05,
-0.0015078,2.15e-05,
-0.0015076,2.1e-05,
-0.0015074,2.125e-05,
-0.0015072,2.15e-05,
-0.001507,2.425e-05,
-0.0015068,2.35e-05,
-0.0015066,2.45e-05,
-0.0015064,2.55e-05,
-0.0015062,2.425e-05,
-0.001506,2.6e-05,
-0.0015058,2.525e-05,
-0.0015056,2.625e-05,
-0.0015054,2.65e-05,
-0.0015052,2.65e-05,
-0.001505,2.725e-05,
-0.0015048,2.775e-05,
-0.0015046,2.75e-05,
-0.0015044,2.75e-05,
-0.0015042,2.8e-05,
-0.001504,2.8e-05,
-0.0015038,2.8e-05,
-0.0015036,2.625e-05,
-0.0015034,2.6e-05,
-0.0015032,2.625e-05,
-0.001503,2.575e-05,
-0.0015028,2.575e-05,
-0.0015026,2.525e-05,
-0.0015024,2.35e-05,
-0.0015022,2.375e-05,
-0.001502,2e-05,
-0.0015018,2.1e-05,
-0.0015016,1.9e-05,
-0.0015014,1.975e-05,
-0.0015012,1.85e-05,
-0.001501,1.8e-05,
-0.0015008,1.9e-05,
-0.0015006,1.875e-05,
-0.0015004,1.975e-05,
-0.0015002,1.925e-05,
-0.0015,2.025e-05,
-0.0014998,2.075e-05,
-0.0014996,2.1e-05,
-0.0014994,2.125e-05,
-0.0014992,2.2e-05,
-0.001499,2.275e-05,
-0.0014988,2.45e-05,
-0.0014986,2.4e-05,
-0.0014984,2.45e-05,
-0.0014982,2.525e-05,
-0.001498,2.525e-05,
-0.0014978,2.575e-05,
-0.0014976,2.55e-05,
-0.0014974,2.65e-05,
-0.0014972,2.7e-05,
-0.001497,2.725e-05,
-0.0014968,2.75e-05,
-0.0014966,2.775e-05,
-0.0014964,2.8e-05,
-0.0014962,2.775e-05,
-0.001496,2.675e-05,
-0.0014958,2.75e-05,
-0.0014956,2.625e-05,
-0.0014954,2.575e-05,
-0.0014952,2.55e-05,
-0.001495,2.4e-05,
-0.0014948,2.4e-05,
-0.0014946,2.275e-05,
-0.0014944,2.35e-05,
-0.0014942,2.2e-05,
-0.001494,2.025e-05,
-0.0014938,2.1e-05,
-0.0014936,2.025e-05,
-0.0014934,1.75e-05,
-0.0014932,1.75e-05,
-0.001493,1.75e-05,
-0.0014928,1.8e-05,
-0.0014926,1.875e-05,
-0.0014924,1.95e-05,
-0.0014922,2.05e-05,
-0.001492,1.925e-05,
-0.0014918,2.025e-05,
-0.0014916,2.05e-05,
-0.0014914,2.1e-05,
-0.0014912,2.2e-05,
-0.001491,2.225e-05,
-0.0014908,2.375e-05,
-0.0014906,2.425e-05,
-0.0014904,2.425e-05,
-0.0014902,2.45e-05,
-0.00149,2.5e-05,
-0.0014898,2.55e-05,
-0.0014896,2.625e-05,
-0.0014894,2.725e-05,
-0.0014892,2.65e-05,
-0.001489,2.75e-05,
-0.0014888,2.75e-05,
-0.0014886,2.8e-05,
-0.0014884,2.8e-05,
-0.0014882,2.75e-05,
-0.001488,2.725e-05,
-0.0014878,2.6e-05,
-0.0014876,2.575e-05,
-0.0014874,2.55e-05,
-0.0014872,2.4e-05,
-0.001487,2.4e-05,
-0.0014868,2.25e-05,
-0.0014866,2.175e-05,
-0.0014864,2.275e-05,
-0.0014862,2e-05,
-0.001486,2.025e-05,
-0.0014858,2e-05,
-0.0014856,1.975e-05,
-0.0014854,1.75e-05,
-0.0014852,1.85e-05,
-0.001485,1.75e-05,
